COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
DOMINIO_ESTUDIO,Descripción del dominio de estudio de la información,Varchar,255," Grande, Mediana, Pequeña, Micro, Localidad de 500,000 y más habitantes, Localidad de 50,000 a 499,999 habitantes , Construcción, Manufacturas, Comercio, Servicios"
C_1,Número de empresas_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_3,Número de empresas según el rango de edad de operaciones_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_3,Número de empresas según el rango de edad de operaciones_0-2 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_3,Número de empresas según el rango de edad de operaciones_3-5 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_3,Número de empresas según el rango de edad de operaciones_6-10 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
G_3,Número de empresas según el rango de edad de operaciones_11-20 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
H_3,Número de empresas según el rango de edad de operaciones_21 y más años,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_3a,Número de empresas según edad promedio_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_3a,Número de empresas según edad promedio_Edad promedio,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Al mes de la entrevista (2021)_Total de personal ocupado",Numeric,"12,15",0.0 - 999999999999.999999999999999
D_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Al mes de la entrevista (2021)_Personal dependiente de la razón social",Numeric,"12,15",0.0 - 999999999999.999999999999999
E_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Al mes de la entrevista (2021)_Personal no dependiente de la razón social",Numeric,"12,15",0.0 - 999999999999.999999999999999
F_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Durante 2020_Total de personal ocupado",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Durante 2020_Personal dependiente de la razón social",Numeric,"12,15",0.0 - 999999999999.999999999999999
H_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Durante 2020_Personal no dependiente de la razón social",Numeric,"12,15",0.0 - 999999999999.999999999999999
I_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Durante 2019_Total de personal ocupado",Numeric,"12,15",0.0 - 999999999999.999999999999999
J_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Durante 2019_Personal dependiente de la razón social",Numeric,"12,15",0.0 - 999999999999.999999999999999
K_4_1,"Personal ocupado que laboró en las empresas, según tipo y periodo de referencia_Durante 2019_Personal no dependiente de la razón social",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Al mes de la entrevista (2021)_Total de personal ocupado",Numeric,"12,15",0.0 - 999999999999.999999999999999
D_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Al mes de la entrevista (2021)_Personal directivo_Total ",Numeric,"12,15",0.0 - 999999999999.999999999999999
E_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Al mes de la entrevista (2021)_Personal directivo_Hombres",Numeric,"12,15",0.0 - 999999999999.999999999999999
F_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Al mes de la entrevista (2021)_Personal directivo_Mujeres",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2020_Total de personal ocupado",Numeric,"12,15",0.0 - 999999999999.999999999999999
H_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2020_Personal directivo_Total ",Numeric,"12,15",0.0 - 999999999999.999999999999999
I_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2020_Personal directivo_Hombres",Numeric,"12,15",0.0 - 999999999999.999999999999999
J_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2020_Personal directivo_Mujeres",Numeric,"12,15",0.0 - 999999999999.999999999999999
K_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2019_Total de personal ocupado",Numeric,"12,15",0.0 - 999999999999.999999999999999
L_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2019_Personal directivo_Total ",Numeric,"12,15",0.0 - 999999999999.999999999999999
M_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2019_Personal directivo_Hombres",Numeric,"12,15",0.0 - 999999999999.999999999999999
N_4_2,"Personal ocupado de nivel directivo que laboró en las empresas, según género y periodo de referencia_Durante 2019_Personal directivo_Mujeres",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_5,Número de empresas según su régimen fiscal_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_5,Número de empresas según su régimen fiscal_Persona física con actividades empresariales,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_5,Número de empresas según su régimen fiscal_Persona física de incorporación fiscal (Régimen de incorporación fiscal),Numeric,"12,15",0.0 - 999999999999.999999999999999
F_5,Número de empresas según su régimen fiscal_Persona moral del régimen general,Numeric,"12,15",0.0 - 999999999999.999999999999999
G_5,Número de empresas según su régimen fiscal_Persona moral con fines no lucrativos,Numeric,"12,15",0.0 - 999999999999.999999999999999
H_5,Número de empresas según su régimen fiscal_Únicamente está registrada ante alguna instancia estatal o municipal,Numeric,"12,15",0.0 - 999999999999.999999999999999
I_5,Número de empresas según su régimen fiscal_No tiene régimen (no está incorporada),Numeric,"12,15",0.0 - 999999999999.999999999999999
J_5,Número de empresas según su régimen fiscal_Otro,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_6,Número de empresas según tecnologías con las que cuentan_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_6,Número de empresas según tecnologías con las que cuentan_Internet,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_6,"Número de empresas según tecnologías con las que cuentan_Equipo informático (computadora, impresora, fax, copiadora, servidores, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
F_6,"Número de empresas según tecnologías con las que cuentan_Programas informáticos o sistemas especializados (contables, recursos humanos, operación, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Total de empresas",Numeric,"12,15",0.0 - 999999999999.999999999999999
D_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Redes sociales (Facebook, Twitter, Instagram, WhatsApp, Telegram, entre otras)",Numeric,"12,15",0.0 - 999999999999.999999999999999
E_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Sitio o página de Internet (de la empresa o de terceros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
F_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Aplicaciones móviles de la empresa",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Plataformas de venta en línea (Amazon, Mercado Libre, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
H_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Materiales impresos (volantes, catálogos, folletos, anuncios en vías de tránsito, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
I_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Publicidad en medios masivos (radio, televisión, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
J_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Anuncios en periódicos y revistas",Numeric,"12,15",0.0 - 999999999999.999999999999999
K_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Otro",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_8,"Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Problemas técnicos con los activos fijos (maquinaria, equipo, computadoras, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_8,"Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Incremento en los costos de operación (pago de servicios, nómina, precio de insumos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
H_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Exceso de deudas,Numeric,"12,15",0.0 - 999999999999.999999999999999
I_8,"Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Problemas con el personal (baja calidad del trabajo, alta rotación, problemas con sindicatos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
J_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Conflictos familiares,Numeric,"12,15",0.0 - 999999999999.999999999999999
K_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Inseguridad y criminalidad,Numeric,"12,15",0.0 - 999999999999.999999999999999
L_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Excesivos trámites burocráticos,Numeric,"12,15",0.0 - 999999999999.999999999999999
M_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Regulación fiscal / impuestos,Numeric,"12,15",0.0 - 999999999999.999999999999999
N_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Restricciones a su actividad / cierres temporales,Numeric,"12,15",0.0 - 999999999999.999999999999999
O_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Otro,Numeric,"12,15",0.0 - 999999999999.999999999999999
P_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
Q_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
R_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
S_8,"Número de empresas según factores de afectación para su operación por escala_Afectó poco_Problemas técnicos con los activos fijos (maquinaria, equipo, computadoras, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
T_8,"Número de empresas según factores de afectación para su operación por escala_Afectó poco_Incremento en los costos de operación (pago de servicios, nómina, precio de insumos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
U_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Exceso de deudas,Numeric,"12,15",0.0 - 999999999999.999999999999999
